sample,bamfiles,cell_id,normal
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C06.bam,SA1090-A96213A-R20-C06,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C08.bam,SA1090-A96213A-R20-C08,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C09.bam,SA1090-A96213A-R20-C09,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C10.bam,SA1090-A96213A-R20-C10,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C11.bam,SA1090-A96213A-R20-C11,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C12.bam,SA1090-A96213A-R20-C12,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C13.bam,SA1090-A96213A-R20-C13,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C14.bam,SA1090-A96213A-R20-C14,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C15.bam,SA1090-A96213A-R20-C15,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA1090-A96213A-R20-C17.bam,SA1090-A96213A-R20-C17,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C03.bam,SA921-A90554A-R03-C03,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C05.bam,SA921-A90554A-R03-C05,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C08.bam,SA921-A90554A-R03-C08,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C09.bam,SA921-A90554A-R03-C09,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C13.bam,SA921-A90554A-R03-C13,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C14.bam,SA921-A90554A-R03-C14,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C15.bam,SA921-A90554A-R03-C15,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C16.bam,SA921-A90554A-R03-C16,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C19.bam,SA921-A90554A-R03-C19,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA921-A90554A-R03-C20.bam,SA921-A90554A-R03-C20,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C03.bam,SA922-A90554B-R23-C03,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C05.bam,SA922-A90554B-R23-C05,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C16.bam,SA922-A90554B-R23-C16,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C22.bam,SA922-A90554B-R23-C22,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C24.bam,SA922-A90554B-R23-C24,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C26.bam,SA922-A90554B-R23-C26,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C27.bam,SA922-A90554B-R23-C27,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C28.bam,SA922-A90554B-R23-C28,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C29.bam,SA922-A90554B-R23-C29,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/SA922-A90554B-R23-C30.bam,SA922-A90554B-R23-C30,F
OV2295,/work/shah/users/william1/projects/schnapps_input_pipeline/testdata/OV2295_normal.bam,NORMAL,T
